Zona;Subzona;Cantón;presunta_subinfraccion;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 5;GUAYAS;NARANJITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;30/6/2020;HOMBRE;26;ECUATORIANO
ZONA 3;PASTAZA;PASTAZA;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;19/6/2020;HOMBRE;30;ECUATORIANO
ZONA 9;DMQ;QUITO;ATAQUE O RESISTENCIA;8/1/2020;HOMBRE;36;ECUATORIANO
ZONA 7;ZAMORA CHINCHIPE;EL PANGUI;BOLETA DE DETENCIÓN/CAPTURA;3/7/2020;HOMBRE;55;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;13/3/2020;HOMBRE;22;ECUATORIANO
ZONA 3;PASTAZA;PASTAZA;BOLETA DE APREMIO;5/3/2020;HOMBRE;52;ECUATORIANO
ZONA 5;GUAYAS;NARANJAL;ASOCIACIÓN ILÍCITA;5/2/2020;HOMBRE;49;ECUATORIANO
ZONA 8;DMG;DURAN;ASOCIACIÓN ILÍCITA;16/6/2020;MUJER;28;ECUATORIANO
ZONA 5;GUAYAS;COLIMES;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;8/11/2020;MUJER;39;ECUATORIANO
ZONA 5;SANTA ELENA;LA LIBERTAD;HURTO;15/1/2020;HOMBRE;26;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ASESINATO;19/9/2020;HOMBRE;32;ECUATORIANO
ZONA 6;AZUAY;CUENCA;BOLETA DE APREMIO;11/3/2020;HOMBRE;22;ECUATORIANO
ZONA 9;DMQ;QUITO;SUPLANTACIÓN DE IDENTIDAD;24/1/2020;HOMBRE;31;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;10/4/2020;HOMBRE;23;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;22/2/2020;HOMBRE;25;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE APREMIO;11/8/2020;HOMBRE;50;ECUATORIANO
ZONA 2;PICHINCHA;MEJIA;CONTRAVENCIONES DE SEGUNDA CLASE;16/3/2020;HOMBRE;43;ECUATORIANO
ZONA 2;PICHINCHA;RUMIÐAHUI;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;27/9/2020;HOMBRE;31;ECUATORIANO
ZONA 2;PICHINCHA;RUMIÐAHUI;TRATA DE PERSONAS;5/2/2020;HOMBRE;18;ECUATORIANO
ZONA 2;PICHINCHA;MEJIA;VIOLACIÓN;1/7/2020;HOMBRE;17;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;ASOCIACIÓN ILÍCITA;28/7/2020;HOMBRE;32;ECUATORIANO
ZONA 9;DMQ;QUITO;ATAQUE O RESISTENCIA;20/2/2020;HOMBRE;20;ECUATORIANO
ZONA 2;PICHINCHA;MEJIA;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;1/11/2020;MUJER;29;ECUATORIANO
ZONA 5;GUAYAS;COLIMES;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;8/11/2020;HOMBRE;35;ECUATORIANO
ZONA 5;LOS RIOS;URDANETA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;11/3/2020;HOMBRE;18;ECUATORIANO
ZONA 9;DMQ;QUITO;RECEPTACIÓN;10/11/2020;HOMBRE;24;ECUATORIANO
ZONA 4;MANABI;MANTA;BOLETA DE AUXILIO;26/10/2020;HOMBRE;41;ECUATORIANO
ZONA 8;DMG;DURAN;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;21/6/2020;HOMBRE;39;ECUATORIANO
